번호,제목,요약,원본링크,네이버뉴스링크,게시일
530,"이랜드, <b>부산</b>에 ‘직매입’ 도심형 아울렛 장만","모아놓은 ‘<b>맛집</b> 스트릿’ 등은 <b>부산</b> 지역에 첫 선을 보이는 매장들이다. NC<b>서면</b>점은 23일까지 스탠드형 에어컨과 디지털카메라, 풀HD TV 등의 상품으로 구성된 ‘럭키백’ 행사와 초특가 한정 상품 판매전 등을... ",http://www.polinews.co.kr/news/article.html?no=236142,http://www.polinews.co.kr/news/article.html?no=236142,2015-05-22 08:15:00
531,"이랜드, 백화점 강자와 겨루는 新방안 '<b>부산</b> NC<b>서면</b>점' 오픈","21일 이랜드그룹 50번째 유통매장이자 <b>부산</b> 지역 최초의 도심형 아울렛인 NC<b>서면</b>점 그랜드 오픈행사에... 특히 이랜드가 보유한 외식브랜드와 패션 브랜드를 적극 활용하고, 서울을 비롯한 <b>부산</b>의 지역 <b>맛집</b>으로 층... ",http://www.newscj.com/news/articleView.html?idxno=291299,http://www.newscj.com/news/articleView.html?idxno=291299,2015-05-21 18:43:00
532,"이랜드그룹, 50번째 유통점 '<b>부산</b> NC <b>서면</b>점' 오픈",이랜드의 50번째 유통점인 <b>부산</b> NC<b>서면</b>점이 문을 열었다. / 사진=이랜드 제공 이랜드 &quot;<b>부산</b>에 첫 선보인... 전국 <b>맛집</b>을 모아놓은 <b>맛집</b> 스트릿 등도 자리했다. 개점 기념으로 오는 23일까지 스탠드형 에어컨과... ,http://www.mediapen.com/news/articleView.html?idxno=77177,http://www.mediapen.com/news/articleView.html?idxno=77177,2015-05-21 16:35:00
533,이랜드 ‘유통 50호점’ <b>부산</b> NC<b>서면</b>점 개점,[사진 제공 = 이랜드그룹] 이랜드의 50번째 유통점인 <b>부산</b> NC<b>서면</b>점이 21일 개점했다. 서울을 제외하곤 전국... 전국 <b>맛집</b>을 모아놓은 <b>맛집</b> 스트릿 등도 자리했다. 개점 기념으로 오는 23일까지 스탠드형 에어컨과... ,http://news.mk.co.kr/news_forward.php?domain=news&no=488624&year=2015,https://n.news.naver.com/mnews/article/009/0003488743?sid=101,2015-05-21 15:31:00
534,<b>부산</b> 첫 도심형 아울렛 'NC<b>서면</b>점' 개점,또 전국의 <b>맛집</b>만을 모아놓은 <b>맛집</b>스트릿이 들어섰다. 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로 20~30대 고객은 물론 주변 지역의 35~45세 주부 고객까지 끌어모아 새로운 쇼핑 랜드마크로 자리... ,http://www.nocutnews.co.kr/news/4416454,https://n.news.naver.com/mnews/article/079/0002712252?sid=102,2015-05-21 14:29:00
535,막 오른 <b>부산</b> 백화점 大戰..이랜드 가세 롯데·현대百과 '승부',"서울지역 <b>맛집</b>을 그대로 옮겨왔다. NC백화점 <b>서면</b>점은 인근 두 개의 백화점과 신세계 프리미엄 아웃렛, 롯데 아웃렛 동<b>부산</b>점 등 <b>부산</b> 외곽에 빠져있는 대형 아웃렛과 절묘하게 교집합을 이룬다. 인근 백화점들은... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01708886609370888,https://n.news.naver.com/mnews/article/018/0003258113?sid=101,2015-05-20 09:21:00
536,<b>서면맛집</b> '황제잠수함' 엄청난 푸짐함에 빠져들다,"일상에 지친 몸과 마음을 힐링하며, 제철을 맞아 살이 오른 싱싱한 해산물들로 제대로 몸보신할 수 있는 <b>부산 서면맛집</b> 황제잠수함이 엄청난 인기를 끌고 있는데, 이곳은 <b>부산</b>시 <b>부산</b>진구 부전2동 534-1에 위치해있는... ",http://www.intn.co.kr/news/articleView.html?idxno=427026,http://www.intn.co.kr/news/articleView.html?idxno=427026,2015-05-18 11:49:00
537,"이랜드, <b>부산</b> 첫 도심 직매입 아울렛","또 <b>서면</b>점 6층에는 전국 <b>맛집</b>을 모아놓은 <b>맛집</b>스트릿이 들어선다. 이랜드 관계자는 “<b>부산</b> 최초 직매입 도심형 아울렛으로서 <b>서면</b> 유동인구의 3분의 <b>2</b> 이상을 차지하고 있는 20, 30대 고객뿐 아니라 주변 거주지역의 35... ",http://www.hankookilbo.com/v/e81a006a9a834c29aadab1fec52a73fd,https://n.news.naver.com/mnews/article/469/0000064019?sid=102,2015-05-17 20:18:00
538,"50번째 이랜드유통, NC<b>서면</b>점 오픈","■ 이미 검증된 <b>맛집</b> 한 곳에…애슐리퀸즈&amp;<b>맛집</b>스트릿 ‘밥은 안 먹어도 디저트는 꼭 <b>맛집</b>을 찾는다’는... 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고... ",http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=147249,http://www.fashionbiz.co.kr/TN/?cate=2&recom=2&idx=147249,2015-05-15 12:45:00
539,도심형 아울렛 <b>부산 서면</b> 뜬다,이랜드가 <b>부산</b>진구 <b>서면</b>에 백화점과 아울렛의 장점을 결합한 직매입형 아울렛을 선보인다. 이랜드그룹은... NC<b>서면</b>점은 또 외식을 중요시하는 트렌드에 발맞춰 뷔페 레스토랑과 전국 유명 디저트 <b>맛집</b>을 한자리에... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20150515.22013190537,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20150515.22013190537,2015-05-15 00:09:00
540,"이랜드, <b>부산</b> 도심에 실속형 'NC<b>서면</b>점' 개장","이랜드그룹이 오는 21일 <b>부산 서면</b>에 문을 여는 NC<b>서면</b>점의 조감도. 아웃렛과 백화점을 결합시킨 도심형... 또 6층에는 서울에서 인기를 모으고 있는 크로와상 타이야끼, 스트릿츄러스, 홍대 오짱 등의 <b>맛집</b> 매장들을... ",http://news20.busan.com/controller/newsController.jsp?newsId=20150515000022,https://n.news.naver.com/mnews/article/082/0000506407?sid=101,2015-05-14 20:06:00
541,"이랜드, <b>부산</b>에 직매입 도심형 아울렛 'NC<b>서면</b>점' 오픈","서울지역 <b>맛집</b>을 옮겨놓을 예정이다. 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고 있는 20~30대 고객뿐 아니라 주변 거주지역의 35~45세의 젊은 주부... ",http://www.newsway.co.kr/view.php?tp=1&ud=2015051418543233303,http://www.newsway.co.kr/view.php?tp=1&ud=2015051418543233303,2015-05-14 19:12:00
542,<b>부산 서면</b>서 한판 붙는 ‘롯데·이랜드’,21일 오픈하는 이랜드 NC<b>서면</b>점 조감도 이랜드가 <b>부산 서면</b>에 <b>부산</b>지역 최초로 도심형 아웃렛을 오픈한다.... <b>맛집</b>도 25개 브랜드가 입점한다. 2030 고객들을 겨냥해 서울 압구정동에 이어 애슐리퀸즈 2호점도 들어서며... ,http://news.mk.co.kr/news_forward.php?domain=news&no=462758&year=2015,https://n.news.naver.com/mnews/article/009/0003483743?sid=101,2015-05-14 16:39:00
543,"이랜드, <b>부산</b> 최초 '직매입 도심형 아웃렛' 오픈","서울지역 <b>맛집</b>을 그대로 옮겨놓을 예정이다. 샐러드바 애슐리퀸즈 2호점과 로운, 피자몰, 자연별곡 등 이랜드 외식사업부가 운영하는 4대 뷔페도 들어설 예정이다. 이랜드 관계자는 &quot;<b>서면</b> 유동인구의 3분의 <b>2</b> 이상을... ",http://www.mt.co.kr/view/mtview.php?type=1&no=2015051416090236143&outlink=1,https://n.news.naver.com/mnews/article/008/0003471305?sid=101,2015-05-14 16:29:00
544,"이랜드, <b>부산</b>에 직매입 도심형 아울렛 'NC <b>서면</b>점' 오픈","특히 ‘밥은 안 먹어도 디저트는 꼭 <b>맛집</b>을 찾는다’는 최근 2030 고객들의 외식 트렌드에 발맞춰 이랜드는... 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고... ",http://www.ebn.co.kr/news/view/759942,http://www.ebn.co.kr/news/view/759942,2015-05-14 14:45:00
545,"이랜드, <b>부산</b>에 직매입 도심형 아울렛 오픈","이와 함께 ‘밥은 안 먹어도 디저트는 꼭 <b>맛집</b>을 찾는다’는 최근 2030 고객들의 외식 트렌드에 발맞춰... 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고... ",http://okfashion.co.kr/detail.php?number=36627&thread=81r15r01,http://okfashion.co.kr/detail.php?number=36627&thread=81r15r01,2015-05-14 14:19:00
546,"이랜드, <b>부산</b>에 NC 50호점..'백화점·아울렛 장점 결합'",검증된 <b>맛집</b>이 들어선다. 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로 <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하는 20~30대 고객뿐 아니라 주변 거주지역의 35~45세의 젊은 주부 고객까지도 끌어 모을... ,http://www.edaily.co.kr/news/newspath.asp?newsid=02624006609368920,https://n.news.naver.com/mnews/article/018/0003253959?sid=101,2015-05-14 14:02:00
547,"이랜드, <b>부산</b> 최초 도심형 아울렛 'NC<b>서면</b>점' 오픈",또 전국의 <b>맛집</b>만을 모아놓은 <b>맛집</b>스트릿이 들어선다. 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로 20~30대 고객은 물론 주변 지역의 35~45세 주부 고객까지 끌어모아 새로운 쇼핑 랜드마크로... ,http://www.nocutnews.co.kr/news/4412779,https://n.news.naver.com/mnews/article/079/0002709923?sid=102,2015-05-14 13:01:00
548,"이랜드, <b>부산</b>에 첫 도심형 아울렛…프리미엄 가치 제공","서울 강남의 크로와상타이 야끼와 경리단길의 스트릿츄러스, 홍대 오짱, 후쿠오카 함바그 등 이미 검증된 서울지역 <b>맛집</b>을 그대로 옮겨놓을 예정이다. 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로... ",http://www.choicenews.co.kr/news/articleView.html?idxno=18029,http://www.choicenews.co.kr/news/articleView.html?idxno=18029,2015-05-14 11:33:00
549,"이랜드, <b>부산</b>서 직매입 '도심형 아울렛' 오픈",◆ 서울지역 <b>맛집</b>ㆍ이랜드 외식브랜드 등 대거 입점 최근 2030 고객들의 외식 트렌드에 발맞춰 이랜드는... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서 <b>서면</b> 유동인구의 3분의 <b>2</b> 이상을 차지하고... ,http://www.seoulfn.com/news/articleView.html?idxno=224083,http://www.seoulfn.com/news/articleView.html?idxno=224083,2015-05-14 10:49:00
550,"이랜드, <b>부산 서면</b>에 도심형 아울렛 오픈",서울지역 <b>맛집</b>을 그대로 옮겨놓을 예정이다. 이랜드 관계자는 &quot;기존에 <b>부산</b>지역에 없었던 새로운 유통 형태로 선보이는 NC<b>서면</b>점은 직매입과 아울렛 매장에서 얻을 수 있는 가격적인 이점과 백화점의 다양한 상품의... ,http://www.metroseoul.co.kr/news/newsview?newscd=2015051400077,http://www.metroseoul.co.kr/news/newsview?newscd=2015051400077,2015-05-14 10:45:00
551,"이랜드, <b>부산</b>에 도심형 아울렛 선봬…업계 최초",이와 함께 <b>서면</b>점 6층에는 전국의 <b>맛집</b>만을 모아놓은 '<b>맛집</b>스트릿'이 들어선다. 서울 강남의... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서 <b>서면</b> 유동인구의 3분의 <b>2</b> 이상을 차지하고 있는 20~30대... ,http://www.sisaon.co.kr/news/articleView.html?idxno=31670,http://www.sisaon.co.kr/news/articleView.html?idxno=31670,2015-05-14 10:33:00
552,"이랜드, <b>부산</b>에 도심형 아울렛 오픈… &quot;백화점·아울렛 장점 결합&quot;",이와 함께 <b>서면</b>점 6층에는 전국의 <b>맛집</b>만을 모아놓은 <b>맛집</b>스트릿이 들어선다. 서울 강남의... 이랜드 관계자는 “<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서 <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고 있는 20~30대... ,http://www.asiatoday.co.kr/view.php?key=20150514010007545,http://www.asiatoday.co.kr/view.php?key=20150514010007545,2015-05-14 10:21:00
553,"이랜드, <b>부산</b>에 업계 최초 도심형 아울렛 오픈","이와 함께 <b>서면</b>점 6층에는 전국의 <b>맛집</b>만을 모아놓은 <b>맛집</b>스트릿이 들어선다. 서울 강남의... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고 있는 20~30대... ",http://www.dailian.co.kr/news/view/504993/?sc=naver,https://n.news.naver.com/mnews/article/119/0002076685?sid=101,2015-05-14 10:19:00
554,"이랜드, <b>부산</b>에 직매입 도심형 아울렛 오픈",이와 함께 <b>서면</b>점 6층에는 전국의 <b>맛집</b>만을 모아놓은 <b>맛집</b>스트릿이 들어선다. 서울 강남의... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서 <b>서면</b> 유동인구의 3분의 <b>2</b> 이상을 차지하고 있는 20~30대... ,http://www.inews24.com/php/news_view.php?g_serial=898004&g_menu=022500&rrf=nv,https://n.news.naver.com/mnews/article/031/0000349513?sid=101,2015-05-14 10:00:00
555,"이랜드, <b>부산</b>에 업계 최초 직매입 도심형 아울렛 오픈","■ 이미 검증된 <b>맛집</b> 한 곳에…애슐리퀸즈&amp;<b>맛집</b>스트릿 '밥은 안 먹어도 디저트는 꼭 <b>맛집</b>을 찾는다'는... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 <b>2</b>/3 이상을 차지하고 있는... ",http://sports.chosun.com/news/ntype.htm?id=201505140100152490010547&servicedate=20150514,https://n.news.naver.com/mnews/article/076/0002735417?sid=103,2015-05-14 09:58:00
556,"이랜드, <b>부산</b>에 직매입 도심형 아웃렛 오픈","뿐만 아니라 '밥은 안 먹어도 디저트는 꼭 <b>맛집</b>을 찾는다'는 최근 2030 고객들의 외식 트렌드에 발맞춰... 이랜드 관계자는 &quot;<b>서면</b>점은 <b>부산</b> 최초 직매입 도심형 아울렛으로서, <b>서면</b> 유동인구의 3분의 <b>2</b> 이상을 차지하고... ",http://www.newsis.com/ar_detail/view.html?ar_id=NISX20150514_0013661688&cID=10408&pID=10400,https://n.news.naver.com/mnews/article/003/0006519547?sid=101,2015-05-14 09:34:00
557,"[<b>서면 맛집 2</b>곳] <b>맛집</b> 블로거가 연 음식점, 그 맛은?","사진=블로거'울이삐'제공 <b>맛집</b>은 어떤 경로를 통해 찾을까? 요즘엔 W&amp;J, <b>맛집</b> 블로그, SNS 등의 추천이 아닐까.... 랍스터 해물탕 12만 원, 랍스터 해물찜 10만 원. 24시간 영업. <b>부산</b> <b>부산</b>진구 <b>서면</b>문화로 33(부전동). 051-803-1236.",http://news20.busan.com/controller/newsController.jsp?newsId=20150514000035,https://n.news.naver.com/mnews/article/082/0000506146?sid=102,2015-05-13 19:01:00
558,<b>부산</b><b>맛집</b> 누가 먹어도 반할수 밖에 없는 황제찜,<b>부산 서면맛집</b> 황제잠수함의 황제찜뿐 아니라 매콤한 해물찜 메뉴도 골고루 다양하다. 해물찜전문점으로서 해물의 싱싱한 맛을 기대 이상으로 느낄 수 있게 해주기 때문에 많은 사람들이 큰 만족을 느끼고 돌아간다고... ,http://www.intn.co.kr/news/articleView.html?idxno=415011,http://www.intn.co.kr/news/articleView.html?idxno=415011,2015-04-25 08:55:00
559,‘꽃보다 정’… 봄 내음 가득 전통시장 나들이 어때요?,"즉석 생선구이, 치킨, 녹두전, 메추리구이 등을 내놓는 소문난 <b>맛집</b>이 많다. 지나는 사람마다 기름병... ■ 영남권 <b>부산</b> 시민보다 관광객이 더 많은 어묵카페·죽집 <b>부산 서면</b> 부전시장은 <b>부산</b> 시민보다는 타 지역... ",http://www.khan.co.kr/kh_news/art_view.html?artid=201504032130195&code=620100,https://n.news.naver.com/mnews/article/032/0002586656?sid=103,2015-04-03 22:01:00
560,&quot;'먹스타그램' 위해서라면 2시간 기다림 쯤이야…&quot;,지난 14일 오후 회사원 강은정(33·여·<b>부산</b> 서구 동대신동) 씨는 친구들과 함께 SNS(사회관계망서비스)에서 유명한 <b>부산 서면 맛집</b>을 찾았다. <b>맛집</b>으로 소문나 1~2시간 쯤 기다리는 건 예사라는 얘기를 들었지만 사진... ,http://news20.busan.com/controller/newsController.jsp?newsId=20150317000092,https://n.news.naver.com/mnews/article/082/0000497234?sid=102,2015-03-16 22:39:00
561,캐나다 유명 간식 중 내게 맞는 입맛은? <b>부산 서면</b> 디저트 카페 ‘비버...,"롯데시네마도 함께 있어 <b>부산 서면</b> 청춘남녀들의 데이트코스로 추천하기에도 제격인 <b>맛집</b>이다. 박승호기자 wowsports04@wowtv.co.kr `네이버 뉴스스탠드, 페이스북, 트위터에서 한국경제TV를 바로 만나보세요` Copyright... ",http://sports.wowtv.co.kr/news/view.asp?newsid=WS00000013874,https://n.news.naver.com/mnews/article/215/0000271633?sid=102,2015-02-27 13:11:00
562,‘차 없는 거리(자가용·택시)’에 새로운 놀거리·볼거리가 늘었다,한때 금고골목 또는 가구골목으로 불리던 이곳은 이제 ‘종로<b>맛집</b>골목’으로 불린다. 지난해 6월 이곳의... 또 <b>부산</b>시도 <b>서면</b> 동천로를 대중교통전용지구로 지정하기 위해 공사를 벌이고 있다. 수원시는 구도심과... ,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20141219.010090731170001,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20141219.010090731170001,2014-12-19 07:39:00
563,[일상탈출] 통영 서피랑 마을과 강구안 뒷골목,"강구안의 뒷골목은 한때 <b>부산</b>의 <b>서면</b>이나 남포동 골목을 연상케 할 정도로 번잡했다. 어지럽고, 불법 주차... ■먹을 곳 강구안 뒷골목과 도로 변에는 <b>맛집</b>들이 많다. 뒷골목에 위치한 이중섭 식당(055-645-4151)은... ",http://news20.busan.com/controller/newsController.jsp?newsId=20141204000007,https://n.news.naver.com/mnews/article/082/0000481754?sid=102,2014-12-04 07:55:00
564,"킹콩마더스김밥, 복합 쇼핑몰로 발 넓혔다","롯데몰은 최근 홍대에서 유명한 <b>맛집</b> 5곳을 묶어 홍스트리트(Hong Street)존을 구성했으며 그 중심에... 오픈을 시작으로 가맹사업을 시작했다. 다음달 중순에는 서울 구의점이, 연말에는 <b>부산 서면</b>점이 각각 오픈될 예정이다.",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=42229,http://www.greenpostkorea.co.kr/news/articleView.html?idxno=42229,2014-11-28 18:01:00
565,'<b>서면맛집</b> 발길이 끊이지 않는 곳' 꾸준히 사랑받는 황제잠수함!,"황제잠수함은 <b>부산 서면</b>에서 인기 있는 <b>맛집</b> 답게 한번 맛보면 잊혀지지 않는 맛으로 손님들의 입맛을 사로잡고 있다. 황제찜 가격은 70,000원으로 형성되어 있으며 해물찜도 함께 꾸준히 사랑받고 있다. 황제잠수함... ",http://www.etnews.com/20141127001073,https://n.news.naver.com/mnews/article/030/0002322334?sid=103,2014-11-27 18:42:00
566,"<b>부산 서면맛집</b>! 랍스타, 해물찜으로 유명한 ‘황제잠수함’ <b>부산</b>가볼만...",그런곳이 <b>서면맛집</b>으로 존재해주어서 사람들 사이에서 입소문타고 화제가 되고 있다. 바로 황제찜과 해물찜으로 유명한 황제잠수함이다. <b>부산</b>시 <b>부산</b>진구 부전2동 534-1에 위치한 이곳의 황제찜을 말할 것 같으면 전복... ,http://www.edaily.co.kr/news/newspath.asp?newsid=02066406606287688,https://n.news.naver.com/mnews/article/018/0003121829?sid=103,2014-11-20 10:53:00
567,'독특한 맛·틀을 깬 아이디어' 디저트·음료도 서울 진출,"이런 것부터 시작해서 블로그, 모든 <b>맛집</b> 마니아들 사이에 확산되면서 거의 바로 폭발적인 반응이 일어나면서…&quot; <b>부산 서면</b>에 위치한 한 맥주집, 비교적 작은 공간에서 맥주와 간단한 안주를 판매하는 이른바, '스몰비어... ",http://imnews.imbc.com/replay/2014/nw1800/article/3520196_13479.html,https://n.news.naver.com/mnews/article/214/0000412623?sid=102,2014-09-02 18:36:00
568,[지방<b>맛집</b>들 '서울점령'] '스몰맥주' 봉구비어 '인삼 넣은' 정도너츠…...,지방 <b>맛집</b>도 서울에서 성공할 수 있다는 자신감이 생겼다”고 말했다. 봉구비어의 인기도 설빙 못지않다. 2011년 12월 <b>부산 서면</b>에 1호점을 낸 이래 현재 가맹점은 600개를 웃돈다. 이 중 가맹점이 가장 많은 곳은 서울... ,http://www.hankyung.com/news/app/newsview.php?aid=2014082147491,https://n.news.naver.com/mnews/article/015/0003143612?sid=103,2014-08-22 03:31:00
569,"㈜에땅, 슈퍼피자·구운 치킨·3가지 맛 족발… 먹는 족족 최고의 맛!","콘셉트로 <b>맛집</b> 애호가들의 눈길을 끌고 있다. 지난 1월엔 신메뉴 ‘이쪽저쪽’을 출시했다. ‘이쪽저쪽’은... 매장인 <b>부산 서면</b>점을 론칭해 10, 20대 젊은 여성들로부터 큰 호응을 얻었다. 7월 22일 정식 오픈한 투핑거스... ",http://news.donga.com/3/all/20140819/65834107/1,https://n.news.naver.com/mnews/article/020/0002633468?sid=103,2014-08-20 03:03:00
570,동부대우 최진균호 첫 작품은 세탁기…‘공기방울’ 신화 재창조,"마카롱아이스크림, <b>부산 서면</b> 마카롱아이스크림, 홍대 안티크, 합정 카페거리, 싱가폴 관광, 싱가포르... 상수역 <b>맛집</b>, 사이렌드라, 국립모스크, 딸기생크림케이크만드는방법, 딸기케이크, 움트 케이크... ",http://www.ddaily.co.kr@20140729.ddaily.chinabtcoin.com/news.php?seq=120810,https://n.news.naver.com/mnews/article/138/0002020386?sid=105,2014-07-27 10:51:00
571,세상살이 힘들수록 우린 곱창을 곱씹는다,1980년대에 확산되기 시작했으니 인기 <b>맛집</b>들은 20~30년 전통이 예사다. 소 곱창은 구이로 먹으면 비싸게... ■부암동 마산곱창 <b>부산 서면</b>점에서 출발한 소곱창 전문 '길곱창'은 6개월여만에 가맹점을 10곳으로 늘렸다. 젊은... ,http://news20.busan.com/controller/newsController.jsp?newsId=20140619000029,https://n.news.naver.com/mnews/article/082/0000452348?sid=102,2014-06-19 07:53:00
572,프리미엄 즉석 김밥의 원조 '김가네' <b>부산</b> 매니아를 잡아라,본문 이미지 영역 ▲ 김가네 <b>부산 서면</b>점 (제공=김가네) 김가네는 올해 창립20주년을 맞아 역동적인... 김가네 <b>서면</b>점은 이제 불과 2개월 남짓 운영했을 뿐이지만 벌써부터 <b>서면</b> 일대의 <b>맛집</b>으로 인기몰이 중이다. 김가네... ,http://www.moneyweek.co.kr/news/mwView.php?type=1&no=2014061522588046580&outlink=1,https://n.news.naver.com/mnews/article/417/0000047337?sid=101,2014-06-16 13:34:00
573,포차주점 외식 브랜드 인기…<b>부산서면</b> 모범포차 ‘중독성 강한 맛’,"6일 모범포차에 따르면 대한민국 제 2의 도시 <b>부산</b>, <b>서면</b>에 최근 문을 연 <b>부산서면</b>점 ‘모범포차’... 서울 경기는 물론 전국 개설 가맹점마다 지역 <b>맛집</b>으로 유명세를 타고 있는 ‘모범포차’가 내놓은 안주와 특화된... ",http://sports.khan.co.kr/news/sk_index.html?cat=view&art_id=201406051549583&sec_id=561901&pt=nv,https://n.news.naver.com/mnews/article/144/0000250701?sid=101,2014-06-05 15:56:00
574,"대치동 팥빙수 <b>맛집</b>, 파시야 포스코점에 가보니","강남 2호점인 대치포스코점을 오픈하고 강남 팥빙수카페의 새로운 강자로 떠오르고 있는 파시야는 3월 부천점을 오픈 예정에 있으며 <b>부산서면</b>, 거제, 김해, 마산, 구미, 여수, 수원광교, 여천, 여수, 산본 등 전국 주요... ",http://www.econovill.com/archives/170751,http://www.econovill.com/archives/170751,2014-03-21 19:02:00
575,"[성지순례] 한국에서 가장 큰 오락실, <b>부산</b> 삼보게임센터","구성은 '철권 6' 2대, '철권 6: BR' 5대, '철권 태그 토너먼트 <b>2</b> 언리미티드' 3대로, 가격은 ‘철권 6’ 이 300원... 춘하추동밀면의 밀면 맛있는 낙지볶음: 개미집 두 번째로 소개할 <b>서면</b>의 <b>맛집</b>은 <b>부산</b> 전역에 체인점을 두고... ",http://www.gamemeca.com/mv.php?inflow=naver_s&gid=125173,http://www.gamemeca.com/mv.php?inflow=naver_s&gid=125173,2014-03-21 15:28:00
576,[뉴시스아이즈]<b>맛집</b>-'<b>부산</b> 중심' <b>서면</b>에서 즐기는 맛있는 한 끼,<b>부산</b>의 중심가 <b>서면</b>에는 봄이 온 듯 얇고 가벼운 옷을 걸친 사람들이 곳곳의 <b>맛집</b>에서 이른 저녁을 즐겼다. ◇문화양곱창 A-3 051-802-7995 1985년부터 <b>부산</b> 부전2동에서 손님을 맞고 있는 ‘문화양곱창’은 <b>부산 서면</b>의... ,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20140217_0012728401&cID=11209&pID=11200,https://n.news.naver.com/mnews/article/003/0005680850?sid=004,2014-02-17 14:27:00
577,"<b>부산</b>에서 놓치면 안되는 <b>맛집</b>, 문화양곱창·숙이네조개전골",<b>부산</b>의 중심가 <b>서면</b>에는 봄이 온 듯 얇고 가벼운 옷을 걸친 사람들이 곳곳의 <b>맛 집</b>에서 이른 저녁을 즐겼다. ◇문화양곱창 A-3 1985년부터 <b>부산</b> 부전2동에서 손님을 맞고 있는 ‘문화양곱창’은 <b>부산 서면</b>의 서울... ,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20140215_0012725390&cID=10707&pID=10700,https://n.news.naver.com/mnews/article/003/0005678249?sid=103,2014-02-16 06:31:00
578,'뻔한 우동은 가라' 별미가 한 그릇에…,"※<b>부산</b> <b>부산</b>진구 <b>서면</b>문화로 26(부전동) 2층. 유원골든타워 건너편. 하루멘 1만 5천 원, 창창야키 2만 원... 대연동 '구드미엘' 요리스튜디오가 우동 전문점 변신 전국 <b>맛집</b> 돌며 비장의 육수 개발 멸치 기본, 수수하고... ",http://news20.busan.com/controller/newsController.jsp?newsId=20140206000040,https://n.news.naver.com/mnews/article/082/0000429751?sid=103,2014-02-06 07:53:00
579,"백화점업계, 전통시장과 협력사업 본격화","행사 기간 서울 약수시장, 인천 모래내시장, 대전 한민시장, 광주 대인시장, 울산 수암시장, <b>부산 서면</b>시장에서 선정한 총 45개 <b>맛집</b>의 상품을 점포별 식품 매장에서 선보였다. ◇지역명물 발굴해 점포에 입점 현대백화점... ",http://www.newstomato.com/ReadNews.aspx?no=422500,http://www.newstomato.com/ReadNews.aspx?no=422500,2013-11-28 15:00:00
580,['불황은 없다' 지역본사 프랜차이즈] 연탄돼지불고기 전문점‘봉구지...,"본점의 하루 매출은 140만원 정도이며, <b>부산 서면</b>점의 경우 평일 250만원, 주말 400만원 정도를 유지하고 있다.... 위치한 ‘<b>맛집</b>’으로 거듭나는 것이 목표다. 새로운 메뉴와 마케팅 이벤트 등을 개발해 더욱 발전할 수... ",http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20130525.010130756120001,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20130525.010130756120001,2013-11-22 10:54:00
